time [min],0.5h,1h,2h,4h
0,123070.368149041,117736.609048884,107322.902422501,94329.4507465846
5,197580.035529631,199743.61123182,198926.305021189,193688.783689364
10,209098.79187137,194610.03225177,203722.954606954,213452.660476908
